#ZVView-data-copy:  27-Nov-2023 14:53:58
#=======================================
#
"#name:   ENDF/B-VIII.0: TM-171(N,G)TM-172"
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  20131
#data...
#            X            Y
#          MeV        barns
         1e-11      9561.12 
   1.10304e-11      9103.61 
   1.21669e-11      8667.99 
   1.34206e-11      8253.22 
   1.48034e-11      7858.29 
   1.63287e-11      7482.26 
   1.80111e-11      7124.23 
   1.98669e-11      6783.32 
   2.19139e-11      6458.73 
   2.41719e-11      6149.67 
   2.66625e-11       5855.4 
   2.94097e-11      5575.21 
     3.244e-11      5308.43 
   3.57825e-11      5054.42 
   3.94694e-11      4812.55 
   4.35362e-11      4582.26 
   4.80221e-11         4363 
   5.29701e-11      4154.22 
    5.8428e-11      3955.43 
   6.44483e-11      3766.15 
   7.10888e-11      3585.94 
   7.84136e-11      3414.34 
   8.64931e-11      3250.96 
   9.54051e-11      3095.39 
   1.05235e-10      2947.27 
   1.16078e-10      2806.23 
   1.28039e-10      2671.94 
   1.41231e-10      2544.08 
   1.55784e-10      2422.34 
   1.71835e-10      2306.42 
    1.8954e-10      2196.05 
    2.0907e-10      2090.96 
   2.30612e-10      1990.89 
   2.54374e-10      1895.62 
   2.80584e-10       1804.9 
   3.09494e-10      1718.52 
   3.41383e-10      1636.28 
   3.76558e-10      1557.97 
   4.15358e-10      1483.41 
   4.58155e-10      1412.41 
   5.05362e-10      1344.82 
   5.57433e-10      1280.45 
   6.14869e-10      1219.17 
   6.78223e-10      1160.81 
   7.48105e-10      1105.25 
   8.25188e-10      1052.35 
   9.10213e-10      1001.97 
      1.004e-9       954.01 
    1.10745e-9      908.341 
    1.22155e-9      864.856 
    1.34742e-9       823.45 
    1.48625e-9      784.025 
    1.63939e-9      746.485 
    1.80831e-9       710.74 
    1.99463e-9      676.705 
    2.20016e-9      644.297 
    2.42685e-9      613.438 
    2.67691e-9      584.055 
    2.95273e-9      556.076 
    3.25697e-9      529.435 
    3.59256e-9      504.068 
    3.96272e-9      479.915 
    4.37103e-9      456.919 
    4.82141e-9      435.025 
    5.31819e-9      414.181 
    5.86616e-9      394.337 
    6.47059e-9      375.443 
     7.1373e-9      357.452 
    7.87271e-9      340.316 
    8.68389e-9       323.99 
    9.57865e-9      308.433 
    1.05656e-8      293.607 
    1.16543e-8      279.484 
    1.28551e-8      266.039 
    1.41796e-8      253.245 
    1.56406e-8      241.069 
    1.72522e-8      229.471 
    1.90298e-8      218.412 
    2.09906e-8      207.868 
    2.31534e-8      197.823 
    2.52419e-8      189.374 
       2.53e-8      189.154 
    2.79068e-8      180.007 
